name,district,locationCode,primaryAddressLine,stateCode,zip,accessibilityCode,accessibilityDescription,profile,website,boroughNumber,boroughName,phoneNumber,size,grades,campus,distance,networkCode,networkLead,networkLeadPhone,networkLeadEmail,rank,displayName,point/objectId1,point/objectId,point/x,point/y,point/schoolName,point/boroughNumber,point/locationCode,point/district,point/zip,point/neighborhood,point/shape,dUSInformation/locationCode,dUSInformation/schoolName,dUSInformation/borough,dUSInformation/highSchool/schoolDirectoryYear,dUSInformation/highSchool/stage,dUSInformation/highSchool/email,dUSInformation/highSchool/indepedentWebsite,dUSInformation/highSchool/schoolType,dUSInformation/highSchool/accessibility,dUSInformation/highSchool/eLLProgramsESL,dUSInformation/highSchool/interestAreas,dUSInformation/highSchool/selectionMethods,dUSInformation/middleSchool/schoolDirectoryYear,childhoodCenter/objectId,childhoodCenter/locationCode,childhoodCenter/borough,childhoodCenter/district,childhoodCenter/name,childhoodCenter/phone,childhoodCenter/address,childhoodCenter/zip,childhoodCenter/dayLength,childhoodCenter/sPCoordX,childhoodCenter/sPCoordY,childhoodCenter/pjAreaName,childhoodCenter/boroCode,childhoodCenter/bin,childhoodCenter/bbl,childhoodCenter/seats,childhoodCenter/email,childhoodCenter/prekType,isChildhoodCenter,dayLength,managedBy,seats,prekType,childhoodCenter/dchDcId,childhoodCenter/contract,childhoodCenter/webSite,childhoodCenter/taxId,childhoodCenter/pepApproved,optCode
P.S. 047 John Randolph,12,X047,1794 EAST 172 STREET,NY,10472,,,http://schools.nyc.gov/SchoolPortals/12/X047/default.htm,,2,Bronx,718-824-0950,1166,"0K,01,02,03,04,05,SE",,0,N608,RUDOLPH RUPNARAIN,718-828-4808,rrupnar@schools.nyc.gov,100,P.S. 047 John Randolph (X047),0,2256,-8222835.0991,4987691.2647,P.S. 047 JOHN RANDOLPH,2,X047,12,10472,West Farms - Bronx River,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,12047
P.S. 048 Joseph R. Drake,08,X048,1290 SPOFFORD AVENUE,NY,10474,,,http://schools.nyc.gov/SchoolPortals/08/X048/default.htm,,2,Bronx,718-589-4312,830,"PK,0K,01,02,03,04,05,SE",,0,N607,"Steven Chernigoff/Myers, Elmer",718-828-5980,SCherni@schools.nyc.gov; EMyers@schools.nyc.gov,100,P.S. 048 Joseph R. Drake (X048),0,2257,-8225049.2917,4984967.0009,P.S. 048 JOSEPH R. DRAKE,2,X048,8,10474,Hunts Point,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,108,DOE,,,,,,08048
P.S. 048 Mapleton,20,K048,6015 18 AVENUE,NY,11204,,,http://schools.nyc.gov/SchoolPortals/20/K048/default.htm,,3,Brooklyn,718-232-3873,597,"PK,0K,01,02,03,04,05,SE",,0,N409,"OPROMALLA, NEAL",718-648-0209,NOproma@schools.nyc.gov,100,P.S. 048 Mapleton (K048),0,2584,-8236228.1667,4956681.8653,P.S. 048 MAPLETON,3,K048,20,11204,Borough Park,2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,18,DOE,,,,,,20048
P.S. 048 P.O. Michael J. Buczek,06,M048,4360-78 BROADWAY,NY,10033,,,http://schools.nyc.gov/SchoolPortals/06/M048/default.htm,,1,Manhattan,917-521-3800,601,"PK,0K,01,02,03,04,05,SE",,0,N532,"SOCCODATO, BENJAMIN/OBRIEN, WALTER",212-302-8800,BSoccod@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 048 P.O. Michael J. Buczek (M048),0,1623,-8230266.3248,4990715.9086,P.S. 048 P.O. MICHAEL J. BUCZEK,1,M048,6,10033,Washington Heights North,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,06048
P.S. 048 William G. Wilcox,31,R048,1050 Targee Street,NY,10304,,,http://schools.nyc.gov/SchoolPortals/31/R048/default.htm,,5,Staten Island,718-447-8323,953,"PK,0K,01,02,03,04,05,06,07,08,SE",,0,N409,"OPROMALLA, NEAL",718-648-0209,NOproma@schools.nyc.gov,100,P.S. 048 William G. Wilcox (R048),0,2192,-8247763.2586,4953890.8829,P.S. 048 WILLIAM C. WILCOX,5,R048,31,10304,Grasmere - Arrochar - Ft Wadsworth,2192,R048,P.S. 048 William G. Wilcox,Staten Island,,,,,,,,,,7376,,,,,,,,,,,,,,,,,,,false,1,1,18,DOE,,,,,,31048
P.S. 048 William Wordsworth,28,Q048,108-29 155 STREET,NY,11433,,,http://schools.nyc.gov/SchoolPortals/28/Q048/default.htm,,4,Queens,718-558-6700,621,"PK,0K,01,02,03,04,05,SE",,0,N535,"PADVA, ELLEN/OBRIEN, WALTER",212-302-8800,EPadva@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 048 William Wordsworth (Q048),0,1908,-8215001.7389,4967320.7136,P.S. 048 WILLIAM WORDSWORTH,4,Q048,28,11433,South Jamaica,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,28048
P.S. 049 Dorothy Bonawit Kole,24,Q049,63-60 80th Street,NY,11379,,,http://schools.nyc.gov/SchoolPortals/24/Q049/default.htm,,4,Queens,718-326-2111,1117,"0K,01,02,03,04,05,06,07,08,SE",,0,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,P.S. 049 Dorothy Bonawit Kole (Q049),0,1909,-8223736.461,4971051.1685,P.S. 049 DOROTHY BONAWIT KOLE,4,Q049,24,11379,Middle Village,1909,Q049,P.S. 049 Dorothy Bonawit Kole,Queens,,,,,,,,,,7279,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,24049
P.S. 049 Willis Avenue,07,X049,383 EAST 139 STREET,NY,10454,,,http://schools.nyc.gov/SchoolPortals/07/X049/default.htm,,2,Bronx,718-292-4623,703,"PK,0K,01,02,03,04,05,SE",,0,N109,"Quail, Maria",718-828-6990,MQuail@schools.nyc.gov,100,P.S. 049 Willis Avenue (X049),0,2258,-8229067.4433,4984392.4956,P.S. 049 WILLIS AVENUE,2,X049,7,10454,Mott Haven - Port Morris,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,07049
P.S. 050 Clara Barton,12,X050,1550 VYSE AVENUE,NY,10460,,,http://schools.nyc.gov/SchoolPortals/12/X050/default.htm,,2,Bronx,718-542-2650,60,"05,SE",,0,N606,"Palazzo, Petrina",718-794-4907,PPalazz@schools.nyc.gov,100,P.S. 050 Clara Barton (X050),0,2259,-8225071.8363,4987948.0831,P.S. 050 CLARA BARTON,2,X050,12,10460,Crotona Park East,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,12050
P.S. 050 Frank Hankinson,31,R050,200 ADELAIDE AVENUE,NY,10306,,,http://schools.nyc.gov/SchoolPortals/31/R050/default.htm,,5,Staten Island,718-987-0396,837,"PK,0K,01,02,03,04,05,SE",,0.651459895984237,N604,"Bowen, Gregory",718-759-4893,GBowen@schools.nyc.gov,100,P.S. 050 Frank Hankinson (R050),2194,2194,-8251545.0702,4947882.2646,P.S. 050 FRANK HANKINSON,5,R050,31,10306,Oakwood - Oakwood Beach,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,31050
P.S. 050 Talfourd Lawn Elementary School,28,Q050,143-26 101 AVENUE,NY,11435,,,http://schools.nyc.gov/SchoolPortals/28/Q050/default.htm,,4,Queens,718-526-5336,818,"PK,0K,01,02,03,04,05,SE",,0,N207,"DANIELLE GIUNTA/LEPORE, FELICE",718-281-3473,DGiunta4@schools.nyc.gov; FLepore@schools.nyc.gov,100,P.S. 050 Talfourd Lawn Elementary School (Q050),0,1910,-8216147.0353,4967469.2417,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,4,Q050,28,11435,Jamaica,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,28050
P.S. 050 Vito Marcantonio,04,M050,433 EAST 100 STREET,NY,10029,,,http://schools.nyc.gov/SchoolPortals/04/M050/default.htm,,1,Manhattan,212-860-5976,290,"0K,01,02,03,04,05,06,07,08,SE",,0,N536,"BEIRNE, GERARD/HAYES, NIOBE",212-920-7636,GBeirne@schools.nyc.gov; NHayes2@schools.nyc.gov,100,P.S. 050 Vito Marcantonio (M050),0,1624,-8231097.018,4980769.623,P.S. 050 VITO MARCANTONIO,1,M050,4,10029,East Harlem South,1624,M050,P.S. 050 Vito Marcantonio,Manhattan,,,,,,,,,,7179,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,04050
P.S. 051,27,Q051,87-45 117 STREET,NY,11418,,,http://schools.nyc.gov/SchoolPortals/27/Q051/default.htm,,4,Queens,718-850-0738,248,"PK,0K,01,SE",,0,N210,"Brucella, Joanne",718-642-5842,JBrucel@schools.nyc.gov,100,P.S. 051 (Q051),0,1911,-8218909.6265,4967937.3881,P.S. 051,4,Q051,27,11418,Richmond Hill,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,27051
P.S. 051 Bronx New School,10,X051,695 EAST 182ND STREET,NY,10457,,,http://schools.nyc.gov/SchoolPortals/10/X051/default.htm,,2,Bronx,718-733-0347,244,"PK,0K,01,02,03,04,05",,0,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,P.S. 051 Bronx New School (X051),0,2260,-8225043.4652,4990384.0834,P.S. 051 BRONX NEW SCHOOL,2,X051,10,10457,Belmont,2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,10420
P.S. 051 Elias Howe,02,M051,525 WEST 44TH STREET,NY,10036,,,http://schools.nyc.gov/SchoolPortals/02/M051/default.htm,,1,Manhattan,212-315-7160,367,"PK,0K,01,02,03,04,05,SE",,0,N203,"Feldberg, Gabriel",718-965-1190,GFeldbe@schools.nyc.gov,100,P.S. 051 Elias Howe (M051),0,1625,-8237142.6006,4977229.3491,P.S. 051 ELIAS HOWE,1,M051,2,10036,Clinton,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,02051
P.S. 052 John C. Thompson,31,R052,450 BUEL AVENUE,NY,10305,,,http://schools.nyc.gov/SchoolPortals/31/R052/default.htm,,5,Staten Island,718-351-5454,522,"PK,0K,01,02,03,04,05,SE",,0,N604,"Bowen, Gregory",718-759-4893,GBowen@schools.nyc.gov,100,P.S. 052 John C. Thompson (R052),0,2196,-8247519.2332,4950959.976,P.S. 052 JOHN C. THOMPSON,5,R052,31,10305,OldTown-DonganHills-SouthBeach,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,31052
P.S. 052 Queens,29,Q052,178-37 146 TERRACE,NY,11434,,,http://schools.nyc.gov/SchoolPortals/29/Q052/default.htm,,4,Queens,718-528-2238,498,"PK,0K,01,02,03,04,05,SE",,0,N531,"AMUNDSEN, CHARLES/OBRIEN, WALTER",212-302-8800,camunds@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 052 Queens (Q052),0,1912,-8211670.6794,4962513.9269,P.S. 052 QUEENS,4,Q052,29,11434,Springfield Gardens S - Brookville,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,90,DOE,,,,,,29052
P.S. 052 Sheepshead Bay,22,K052,2675 EAST  29 STREET,NY,11235,,,http://schools.nyc.gov/SchoolPortals/22/K052/default.htm,,3,Brooklyn,718-648-0882,877,"PK,0K,01,02,03,04,05,SE",,0,N605,"Gigoux, Lisa",718-648-0209,LGigoux@schools.nyc.gov,100,P.S. 052 Sheepshead Bay (K052),0,2587,-8230985.6832,4951716.4577,P.S. 052 SHEEPSHEAD BAY,3,K052,22,11235,Sheepshd By -Gerritsen Bch -Manhattn Bch,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,22052
P.S. 053 Basheer Quisim,09,X053,360 EAST 168 STREET,NY,10456,,,http://schools.nyc.gov/SchoolPortals/09/X053/default.htm,,2,Bronx,718-681-7276,1217,"PK,0K,01,02,03,04,05,SE",,0.515781001888668,N209,"WILKS, MARLENE",917-520-6743,MWilks@schools.nyc.gov,100,P.S. 053 Basheer Quisim (X053),2261,2261,-8227811.1988,4987694.6922,P.S. 053 BASHEER QUISIM,2,X053,9,10456,East Concourse - Concourse Village,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,09053
P.S. 053 The Barbara Esselborn School,31,R053,330 DURANT AVENUE,NY,10308,,,http://schools.nyc.gov/SchoolPortals/31/R053/default.htm,,5,Staten Island,718-987-8020,788,"PK,0K,01,02,03,04,05,SE",,0,N533,"RAMOS, NANCY/OBRIEN, WALTER",212-302-8800,NRamos@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 053 The Barbara Esselborn School (R053),0,2197,-8252892.6066,4946526.4858,P.S. 053 BAY TERRACE,5,R053,31,10308,Great Kills,2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,84,DOE,,,,,,31053
P.S. 054 Charles W. Leng,31,R054,1060 WILLOWBROOK ROAD,NY,10314,,,http://schools.nyc.gov/SchoolPortals/31/R054/default.htm,,5,Staten Island,718-698-0600,780,"PK,0K,01,02,03,04,05,SE",,0,N409,"OPROMALLA, NEAL",718-648-0209,NOproma@schools.nyc.gov,100,P.S. 054 Charles W. Leng (R054),0,2198,-8252969.3239,4953953.118,P.S. 054 CHARLES W. LENG,5,R054,31,10314,New Springville - Bloomfield - Travis,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,31054
P.S. 054 Hillside,28,Q054,86-02 127 STREET,NY,11418,,,http://schools.nyc.gov/SchoolPortals/28/Q054/default.htm,,4,Queens,718-849-0962,589,"0K,01,02,03,04,05,SE",,0,N209,"WILKS, MARLENE",917-520-6743,MWilks@schools.nyc.gov,100,P.S. 054 Hillside (Q054),0,1914,-8218098.036,4968573.6368,P.S. 054 HILLSIDE,4,Q054,28,11418,Richmond Hill,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,28054
P.S. 054 Samuel C. Barnes,13,K054,195 SANDFORD STREET,NY,11205,,,http://schools.nyc.gov/SchoolPortals/13/K054/default.htm,,3,Brooklyn,718-834-6752,239,"PK,0K,01,02,03,04,05,SE",,0,N612,"FELIX, CYNTHIA/RUIZ, JOSE",718-828-7776,CJFelix@schools.nyc.gov; JRUIZ2@schools.nyc.gov,100,P.S. 054 Samuel C. Barnes (K054),0,2589,-8232374.1746,4967106.5069,P.S. 054 SAMUEL C. BARNES,3,K054,13,11205,Bedford,2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,46,DOE,,,,,,13054
P.S. 055 Benjamin Franklin,09,X055,450 SAINT PAUL'S PLACE,NY,10456,,,http://schools.nyc.gov/SchoolPortals/09/X055/default.htm,,2,Bronx,718-681-6227,725,"PK,0K,01,02,03,04,05,SE",,0.667433608790432,N534,"Waxman, Ben/OBRIEN, WALTER",212-302-8800,BWaxman@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 055 Benjamin Franklin (X055),2263,2263,-8227070.546,4988209.0839,P.S. 055 BENJAMIN FRANKLIN,2,X055,9,10456,Claremont - Bathgate,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,09055
P.S. 055 Henry M. Boehm,31,R055,54 OSBORNE STREET,NY,10312,,,http://schools.nyc.gov/SchoolPortals/31/R055/default.htm,,5,Staten Island,718-697-5200,634,"PK,0K,01,02,03,04,05,SE",,0,N605,"Gigoux, Lisa",718-648-0209,LGigoux@schools.nyc.gov,100,P.S. 055 Henry M. Boehm (R055),0,2199,-8255852.4937,4944206.8784,P.S. 055 HENRY M. BOEHM,5,R055,31,10312,Annadale-Huguent-PrincessBy-Eltingville,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,31055
P.S. 055 Maure,28,Q055,131-10 97 AVENUE,NY,11419,,,http://schools.nyc.gov/SchoolPortals/28/Q055/default.htm,,4,Queens,718-849-3845,530,"PK,0K,01,02,03,04,05,SE",,0,N209,"WILKS, MARLENE",917-520-6743,MWilks@schools.nyc.gov,100,P.S. 055 Maure (Q055),0,1915,-8217192.0213,4967292.675,P.S. 055 MAURE,4,Q055,28,11419,Richmond Hill,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,28055
P.S. 056 Harry Eichler,27,Q056,86-10 114 STREET,NY,11418,,,http://schools.nyc.gov/SchoolPortals/27/Q056/default.htm,,4,Queens,718-441-4448,391,"02,03,04,05,SE",,0,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,P.S. 056 Harry Eichler (Q056),0,1916,-8219336.4263,4968057.9162,P.S. 056 HARRY EICHLER,4,Q056,27,11418,Richmond Hill,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,27056
P.S. 056 Lewis H. Latimer,13,K056,170 GATES AVENUE,NY,11238,,,http://schools.nyc.gov/SchoolPortals/13/K056/default.htm,,3,Brooklyn,718-857-3149,208,"PK,0K,01,02,03,04,05,SE",,0,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,P.S. 056 Lewis H. Latimer (K056),0,2590,-8233242.684,4965965.1973,P.S. 056 LEWIS H. LATIMER,3,K056,13,11238,Clinton Hill,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,18,DOE,,,,,,13056
P.S. 056 Norwood Heights,10,X056,3177 WEBSTER AVENUE,NY,10467,,,http://schools.nyc.gov/SchoolPortals/10/X056/default.htm,,2,Bronx,718-405-6330,695,"0K,01,02,03,04,05,SE",,0.425541020523749,N109,"Quail, Maria",718-828-6990,MQuail@schools.nyc.gov,100,P.S. 056 Norwood Heights (X056),2757,2757,-8223830.4449,4993537.6097,P.S. 056 NORWOOD HEIGHTS,2,X056,10,10467,Norwood,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,10056
P.S. 057 Crescent,12,X057,2111 CROTONA AVENUE,NY,10457,,,http://schools.nyc.gov/SchoolPortals/12/X057/default.htm,,2,Bronx,718-367-9446,579,"PK,0K,01,02,03,04,05,SE",,0,N606,"Palazzo, Petrina",718-794-4907,PPalazz@schools.nyc.gov,100,P.S. 057 Crescent (X057),0,2264,-8225287.1974,4990029.5947,P.S. 057 CRESCENT,2,X057,12,10457,East Tremont,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,12057
P.S. 057 Hubert H. Humphrey,31,R057,140 PALMA DRIVE,NY,10304,,,http://schools.nyc.gov/SchoolPortals/31/R057/default.htm,,5,Staten Island,718-447-1191,732,"PK,0K,01,02,03,04,05,SE",,0.74486277359163,N609,"Michael Dantona/RUIZ, JOSE",718-828-7776,mdanton2@schools.nyc.gov; JRUIZ2@schools.nyc.gov,100,P.S. 057 Hubert H. Humphrey (R057),2201,2201,-8246926.2546,4955164.8016,P.S. 057 HUBERT H. HUMPHREY,5,R057,31,10304,Grymes Hill - Clifton - Fox Hills,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,84,DOE,,,,,,31057
P.S. 058,09,X058,459 EAST 176 STREET,NY,10457,,,http://schools.nyc.gov/SchoolPortals/09/X058/default.htm,,2,Bronx,718-583-6866,506,"PK,0K,01,02,03,04,05,SE",,0,N534,"Waxman, Ben/OBRIEN, WALTER",212-302-8800,BWaxman@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 058 (X058),0,2265,-8226379.2829,4989678.3655,P.S. 058,2,X058,9,10457,Claremont - Bathgate,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,09058
P.S. 058 The Carroll,15,K058,330 SMITH STREET,NY,11231,,,http://schools.nyc.gov/SchoolPortals/15/K058/default.htm,,3,Brooklyn,718-330-9322,991,"PK,0K,01,02,03,04,05,SE",,0.495849754830266,N612,"FELIX, CYNTHIA/RUIZ, JOSE",718-828-7776,CJFelix@schools.nyc.gov; JRUIZ2@schools.nyc.gov,100,P.S. 058 The Carroll (K058),2592,2592,-8237135.7188,4965317.3023,P.S. 058 THE CARROLL,3,K058,15,11231,Carroll Grdns - Columbia - Red Hook,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,15058
P.S. 059 Beekman Hill International,02,M059,231-249 EAST 56 STREET,NY,10019,,,http://schools.nyc.gov/SchoolPortals/02/M059/default.htm,,1,Manhattan,212-888-7870,571,"0K,01,02,03,04,05,SE",,0,N203,"Feldberg, Gabriel",718-965-1190,GFeldbe@schools.nyc.gov,100,P.S. 059 Beekman Hill International (M059),0,1629,-8233834.3834,4976888.4629,P.S. 059 BEEKMAN HILL INTERNATIONAL,1,M059,2,10019,Turtle Bay - East Midtown,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,02059
P.S. 059 The Community School of Technology,10,X059,2185 BATHGATE AVENUE,NY,10457,,,http://schools.nyc.gov/SchoolPortals/10/X059/default.htm,,2,Bronx,718-584-4730,635,"PK,0K,01,02,03,04,05,SE",,0,N607,"Steven Chernigoff/Myers, Elmer",718-828-5980,SCherni@schools.nyc.gov; EMyers@schools.nyc.gov,100,P.S. 059 The Community School of Technology (X059),0,2266,-8225788.3033,4990696.1869,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,2,X059,10,10457,Claremont - Bathgate,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,64,DOE,,,,,,10059
P.S. 059 William Floyd,14,K059,211 THROOP AVENUE,NY,11206,,,http://schools.nyc.gov/SchoolPortals/14/K059/default.htm,,3,Brooklyn,718-443-3600,318,"PK,0K,01,02,03,04,05,SE",,0,N612,"FELIX, CYNTHIA/RUIZ, JOSE",718-828-7776,CJFelix@schools.nyc.gov; JRUIZ2@schools.nyc.gov,100,P.S. 059 William Floyd (K059),0,2593,-8231347.4018,4967799.4886,P.S. 059 WILLIAM FLOYD,3,K059,14,11206,Stuyvesant Heights,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,14059
P.S. 060 Alice Austen,31,R060,55 MERRILL AVENUE,NY,10314,,,http://schools.nyc.gov/SchoolPortals/31/R060/default.htm,,5,Staten Island,718-761-3325,919,"PK,0K,01,02,03,04,05,SE",,0,N604,"Bowen, Gregory",718-759-4893,GBowen@schools.nyc.gov,100,P.S. 060 Alice Austen (R060),0,2203,-8255685.143,4955036.9613,P.S. 060 ALICE AUSTEN,5,R060,31,10314,New Springville - Bloomfield - Travis,2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,31060
P.S. 060 Woodhaven,27,Q060,91-02 88 AVENUE,NY,11421,,,http://schools.nyc.gov/SchoolPortals/27/Q060/default.htm,,4,Queens,718-441-5046,1239,"PK,0K,01,02,03,04,05,SE",,0,N531,"AMUNDSEN, CHARLES/OBRIEN, WALTER",212-302-8800,camunds@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 060 Woodhaven (Q060),0,1919,-8221255.3585,4966940.4501,P.S. 060 WOODHAVEN,4,Q060,27,11421,Woodhaven,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,72,DOE,,,,,,27060
P.S. 061 Francisco Oller,12,X061,1550 CROTONA PARK EAST,NY,10460,,,http://schools.nyc.gov/SchoolPortals/12/X061/default.htm,,2,Bronx,718-542-7230,311,"PK,0K,01,02,03,04,05,SE",,0,N401,"GROLL, CHRISTOP/MARKS, ROXANNE",212-769-7500,CGroll@schools.nyc.gov; Rmarks@schools.nyc.gov,100,P.S. 061 Francisco Oller (X061),0,2267,-8225678.0223,4988237.8801,P.S. 061 FRANCISCO OLLER,2,X061,12,10460,Crotona Park East,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,12061
P.S. 062 Inocensio Casanova,08,X062,660 FOX STREET,NY,10455,,,http://schools.nyc.gov/SchoolPortals/08/X062/default.htm,,2,Bronx,718-585-1617,780,"PK,0K,01,02,03,04,05,SE",,0,N109,"Quail, Maria",718-828-6990,MQuail@schools.nyc.gov,100,P.S. 062 Inocensio Casanova (X062),0,2268,-8226537.9946,4984933.0487,P.S. 062 INOCENSIO CASANOVA,2,X062,8,10455,Longwood,2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,08062
P.S. 063 Author's Academy,09,X063,1260 FRANKLIN AVENUE,NY,10456,,,http://schools.nyc.gov/SchoolPortals/09/X063/default.htm,,2,Bronx,718-589-3058,650,"PK,0K,01,02,03,04,05,SE",,0,N209,"WILKS, MARLENE",917-520-6743,MWilks@schools.nyc.gov,100,P.S. 063 Author's Academy (X063),0,2269,-8226745.7457,4987460.6898,P.S. 063 AUTHOR'S ACADEMY,2,X063,9,10456,Morrisania - Melrose,2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,54,DOE,,,,,,09063
P.S. 063 Old South,27,Q063,90-15 SUTTER AVENUE,NY,11417,,,http://schools.nyc.gov/SchoolPortals/27/Q063/default.htm,,4,Queens,718-845-7560,1388,"PK,0K,01,02,03,04,05,SE",,0,N531,"AMUNDSEN, CHARLES/OBRIEN, WALTER",212-302-8800,camunds@schools.nyc.gov; WObrien@schools.nyc.gov,100,P.S. 063 Old South (Q063),0,1922,-8220604.8732,4964779.8673,P.S. 063 OLD SOUTH,4,Q063,27,11417,Ozone Park,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,1,1,36,DOE,,,,,,27063
P.S. 064 Joseph P. Addabbo,27,Q064,82-01 101 AVENUE,NY,11416,,,http://schools.nyc.gov/SchoolPortals/27/Q064/default.htm,,4,Queens,718-845-8290,667,"0K,01,02,03,04,05,SE",,0,N211,JEAN MCKEON,718-642-5701,JMckeon3@schools.nyc.gov,100,P.S. 064 Joseph P. Addabbo (Q064),0,1923,-8221716.0307,4965534.4247,P.S. 064 JOSEPH P. ADDABBO,4,Q064,27,11416,Woodhaven,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,27064
P.S. 064 Pura Belpre,09,X064,1425 WALTON AVENUE,NY,10452,,,http://schools.nyc.gov/SchoolPortals/09/X064/default.htm,,2,Bronx,718-681-8088,135,"05,SE",,0.242852854273441,N406,"GROLL, CHRISTOP/Ames, Karen",212-935-3783,CGroll@schools.nyc.gov; KAmes@schools.nyc.gov,100,P.S. 064 Pura Belpre (X064),2270,2270,-8228249.0734,4988834.3327,P.S. 064 PURA BELPRE,2,X064,9,10452,West Concourse,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0,1,,,,,,,,09064
